key,tier,displayName,trials,matchedNames,roles,pageStructuralAnchor,confirmedByUniiOrInchikey,reason
K1:1XU104G55N,1,Colesevelam,53,"""cholestagel®"" (Colesevelam); Cholestagel; Colesevelam; Colesevelam HCL; Colesevelam HCl",intervention; otherName,unii:1XU104G55N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Y17CTI5SR,1,Insulin human,118,Actrapid; Actrapid (human insulin); Actrapid®; Actrapid® (Insulin); Afrezza,intervention; otherName; stored,unii:1Y17CTI5SR,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Y3JD5PEMS,3,GW-813893,1,GW813893,intervention,unii:1Y3JD5PEMS; inchikey:ACEFOQMQINFMRW-DYCFVMESSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Y740ILL1Z,2,Ivacaftor,122,Ivacaftor; Ivacaftor (VX-770); Ivacaftor 150 MG; Ivacaftor 150 MG (milligrams); Ivacaftor 25 mg/75 mg,intervention; otherName,unii:1Y740ILL1Z; inchikey:PURKAOJPTOLRMP-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Y84986J9Q,2,Borneol,1,Fungal Nail Treatment Kit,intervention,unii:1Y84986J9Q; inchikey:DTGKSKDOIYIVQL-QXFUBDJGSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1YC4W9MSLJ,3,Tasisulam,13,LY573636; LY573636-sodium; Tasisulam; Tasisulam-sodium; tasisulam,intervention; otherName,unii:1YC4W9MSLJ; inchikey:WWONFUQGBVOKOF-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Z08G7438A,3,Dovramilast,1,Dovramilast,intervention,unii:1Z08G7438A; inchikey:QDZOBXFRIVOQBR-LJQANCHMSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Z0YFI05OO,3,Triflusal,6,Triflusal; Triflusal (DCI),intervention,unii:1Z0YFI05OO; inchikey:RMWVZGDJPAKBDE-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Z5YC3ME5N,3,Botensilimab,37,Botensilimab; Botensilimab (BOT); botensilimab,intervention; otherName,unii:1Z5YC3ME5N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1Z7MAV4KQC,3,Opevesostat,10,Opevesostat,intervention,unii:1Z7MAV4KQC; inchikey:LHVKCOBGLZGRQZ-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1ZK20VI6TY,2,Triamcinolone,111,20mg triamcinolone; Aristocort; Kenacort; Kenacort®; Triamcinolone,intervention; otherName,unii:1ZK20VI6TY; inchikey:GFNANZIMVAIWHM-OBYCQNJPSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1ZNY4FKK9H,3,Entinostat,74,Entinostat; SNDX-275; entinostat,intervention; otherName,unii:1ZNY4FKK9H; inchikey:INVTYAOGFAGBOE-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:1ZPG1ELY14,2,Rose Bengal Potassium,6,Rose Bengal; Rose Bengal Disodium; Rose bengal disodium,intervention; otherName,unii:1ZPG1ELY14; inchikey:VDNLFJGJEQUWRB-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:200168S0CL,3,Ambroxol,23,Ambroxol; Ambroxol Hydrochloride; Ambroxol Hydrochloride (420mg); Ambroxol Spray; Ambroxol hydrochloride (Mucoangin?),intervention; otherName,unii:200168S0CL; inchikey:JBDGDEWWOUBZPM-XYPYZODXSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:200HA2LIMK,3,CEP-1347,1,CEP-1347 10mg,intervention,unii:200HA2LIMK; inchikey:SCMLRESZJCKCTC-KMYQRJGFSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:20668G0RPI,3,TAURODEOXYCHOLIC ACID,1,HY-209,intervention,unii:20668G0RPI; inchikey:AWDRATDZQPNJFN-VAYUFCLWSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:206GF3GB41,2,Helium,2,Helium; helium,intervention; otherName,unii:206GF3GB41; inchikey:SWQJXJOGLNCZEY-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:206J6X63BE,3,Tiomolibdic acid,3,Tiomolibdic Acid; Tiomolibdic acid,otherName,unii:206J6X63BE; inchikey:IEGNLZVDENYZEJ-UHFFFAOYSA-L,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:207SMY3FQT,2,Vemurafenib,127,PLX4032; Vemurafenib; Vemurafenib (All Groups); Vemurafenib (VEM); Vemurafenib (Zelboraf®),intervention; otherName,unii:207SMY3FQT; inchikey:GPXBXXGIAQBQNI-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:209B6YPZ4I,2,PALMITOLEIC ACID,3,"Palmitoleic acid; Palmitoleic acid, 1,000 mg (Dose 2)",intervention,unii:209B6YPZ4I; inchikey:SECPZKHBENQXJG-FPLPWBNLSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:20E4R0BF12,3,AVALOTCAGENE ONTAPARVOVEC,2,DTX301,intervention; otherName,unii:20E4R0BF12,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:20ED16GHEB,1,Choriogonadotropin beta,78,Choriogonadotropin beta; Chorionic Gonadotropin; Human Chorionic Gonadotropin; Human Chorionic Gonadotropin (HCG); Human Chorionic Gonadotropin (hCG),intervention; otherName; stored,unii:20ED16GHEB,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:20IE6M67UX,3,RECATICIMAB,5,Recaticimab; Recaticimab (intensive),intervention,unii:20IE6M67UX,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:20O93L6F9H,2,Oseltamivir,124,Oseltamivir; Oseltamivir (Tamiflu); Oseltamivir 75 mg; Oseltamivir 75Mg Capsule; Oseltamivir 75mg,intervention; otherName,unii:4A3O49NGEZ; inchikey:VSZGPKBBMSAYNT-RRFJBIMHSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:20OK4AFR4Y,2,Alipogene tiparvovec,1,alipogene tiparvovec,intervention,unii:20OK4AFR4Y,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:20TC155L9C,3,Transcrocetin,10,LEAF-4L6715; Trans Sodium Crocetinate; Trans Sodium Crocetinate (TSC); Trans sodium crocetinate (TSC); Trans-Sodium Crocetinate,intervention,unii:20TC155L9C; inchikey:PANKHBYNKQNAHN-MQQNZMFNSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:213N3S8275,1,(-)-CAMPHOR,1,camphor,otherName,unii:213N3S8275; inchikey:DSSYKIVIOFKYAU-OIBJUYFYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:214269U36R,3,NAPROXEN ETEMESIL,2,LT-NS001,intervention,unii:214269U36R; inchikey:JGBUBSOKFSVXKS-LBPRGKRZSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:214IZI85K3,2,Trifluoperazine,4,Trifluoperazine,intervention; otherName,unii:214IZI85K3; inchikey:ZEWQUBUPAILYHI-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2158753C7E,1,Relacorilant,24,CORT125134; CORT125134 150 mg; Relacorilant; Relacorilant (3x100 mg hard-shell capsules); Relacorilant 300mg,intervention; otherName,unii:2158753C7E; inchikey:WANIDIGFXJFFEL-SANMLTNESA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2167OG1EKJ,3,Fexagratinib,1,Fexagratinib,intervention,unii:2167OG1EKJ; inchikey:VRQMAABPASPXMW-HDICACEKSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21C2F5E8RE,2,Anise,2,anise,otherName,unii:21C2F5E8RE,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21G64WZQ4I,3,Incyclinide,4,COL-3; incyclinide,intervention,unii:21G64WZQ4I; inchikey:ZXFCRFYULUUSDW-OWXODZSWSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21G72T1950,2,Tolvaptan,99,15 mg tolvaptan; OPC-41061; OPC-41061 15mg; OPC-41061(Tolvaptan); Tolvaptan,intervention; otherName,unii:21G72T1950; inchikey:GYHCTFXIZSNGJT-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21K6M2I7AG,2,Interferon GAMMA-1B,65,ACTIMMUNE; ACTIMMUNE®; Actimmune; Actimmune®; Actimmune™,intervention; otherName; stored,unii:21K6M2I7AG,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21KOF230FA,3,Roxithromycin,5,Roxithromycin; Roxithromycin 300 MG; Roxithromycin tablets 150mg; roxithromycin,intervention; otherName,unii:21KOF230FA; inchikey:RXZBMPWDPOLZGW-XMRMVWPWSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21P2M98388,3,HENAGLIFLOZIN,12,Henagliflozin; Henagliflozin (SGLT2 Inhibitor); Henagliflozin 10 mg; Henagliflozin 10mg,intervention; otherName,unii:21P2M98388; inchikey:HYTPDMFFHVZBOR-VNXMGFANSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21P699C5FC,3,Samatasvir,5,Samatasvir; Samatasvir capsule,intervention; otherName,unii:21P699C5FC; inchikey:ATOLIHZIXHZSBA-BTSKBWHGSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21W82Q764G,2,Rosa Damascena Flowering Top,6,Allergies; ESTEEM; ESTEEM (Effective Sikills to Empower Effective Men); Empathy; empathy,intervention; otherName,unii:21W82Q764G,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:21Y9GZ1LZA,3,Cypripedium Parviflorum Var. Pubescens Root,1,Insomnia,intervention,unii:21Y9GZ1LZA,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:220236ED28,1,Amodiaquine,22,Amodiaquine; Amodiaquine (Comparator); Camoquin; amodiaquine,intervention; otherName,unii:220236ED28; inchikey:OVCDSSHSILBFBN-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2252724U5N,3,AC-480,1,AC480,intervention,unii:2252724U5N; inchikey:LUJZZYWHBDHDQX-QFIPXVFZSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2261HH611H,3,Tenalisib,11,"RP6530; Tenalisib; Tenalisib 1200mg; Tenalisib,",intervention,unii:2261HH611H; inchikey:HDXDQPRPFRKGKZ-INIZCTEOSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:226LY0AFR9,2,Clam,1,CLAM,otherName,unii:226LY0AFR9,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2285XW22DR,1,Cixutumumab,43,Cixutumumab; IMC-A12; IMC-A12 (Cixutumumab); IMC-A12 (cixutumumab); cixutumumab,intervention; otherName,unii:2285XW22DR,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22ADO53M6F,2,"Sodium Phosphate, Dibasic",4,Acid; NATRUM PHOSPHORICUM; Secondary,intervention; otherName,unii:22ADO53M6F; inchikey:BNIILDVGGAEEIG-UHFFFAOYSA-L,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22F97PC79G,3,Imalumab,2,Imalumab,otherName,unii:22F97PC79G,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22G76ZW50X,3,Telbermin,4,sNN0029; telbermin,intervention,unii:22G76ZW50X,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22IC88528T,2,Lurasidone,76,20mg lurasidone; 40mg lurasidone; Latuda; Latuda (Lurasidone); Latuda©,intervention; otherName,unii:22IC88528T; inchikey:PQXKDMSYBGKCJA-CVTJIBDQSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22PQS5K5TY,3,CCX354,1,CCX354-C,intervention,unii:22PQS5K5TY; inchikey:ZIMLRKWQDLVPEK-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22QOO9B8KI,2,Eletriptan,13,Eletriptan; Eletriptan 20 mg; Eletriptan 40 mg; Eletriptan 40 mg tablet; Eletriptan HBr 40 mg,intervention,unii:22QOO9B8KI; inchikey:PWVXXGRKLHYWKM-LJQANCHMSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22SCY98BXV,3,Anrikefon,4,Anrikefon,intervention,unii:22SCY98BXV; inchikey:VWXDZAZSCZVCPV-YFRBGRBWSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22T8Z09XAK,2,Amyl Nitrite,1,Amyl Nitrite,intervention,unii:22T8Z09XAK,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22VKV8053U,1,Raltegravir,190,"""Raltegravir""; ISENTRESS; ISENTRESS®; ISENTRESS™; Isentress",intervention; otherName,unii:22VKV8053U; inchikey:CZFFBEXEKNGXKS-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:22X328QOC4,1,Fulvestrant,417,FASLODEX; FULVESTRANT; Faslodex; Faslodex (Fulvestrant); Faslodex (Reference),intervention; otherName,unii:22X328QOC4; inchikey:VWUXBMIQPBEWFH-WCCTWKNTSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2302768XJ8,2,Ombitasvir,21,ABT-267; Ombitasvir; TECHNIVIE; Technivie; Viekirax,intervention; otherName,unii:2302768XJ8; inchikey:PIDFDZJZLOTZTM-KHVQSSSXSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23036553F6,1,Streptococcus Pneumoniae Type 18c Capsular Polysaccharide Antigen,54,PNEUMOVAX 23; PNEUMOVAX® 23; PNEUMOVAX™ 23; PNEUMOVAX™23; Pneumovax 23,intervention; otherName,unii:23036553F6,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:230902QLLC,3,Urelumab,15,BMS-663513; Urelumab; Urelumab (BMS-663513); urelumab,intervention; otherName,unii:230902QLLC,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:231473QB6R,1,Watermelon,6,Watermelon; watermelon (Charleston gray),intervention,unii:231473QB6R,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:231C73W7LG,3,Gemcitabine elaidate,4,CO-1.01; CP-4126; Gemcitabine elaidate,intervention; otherName,unii:231C73W7LG; inchikey:HESSNRGIEVBPRB-QDDPNBLJSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23227F83U0,2,Lysine Aspartate,4,Lysine; lysine monohydrate,intervention; otherName,unii:23227F83U0; inchikey:CPYVQXAASIFAMD-KNIFDHDWSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2334LJD2E9,1,7-KETO-DEHYDROEPIANDROSTERONE,1,7-Keto Dehydroepiandrosterone,stored,unii:2334LJD2E9; inchikey:KPRGOTLNGIBVFL-GINZOMEDSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:234248D0HH,2,Tucatinib,61,TUKYSA®; Tucatinib; Tucatinib (ONT-380); Tucatinib 150 MG; Tucatinib Oral Tablet,intervention,unii:234248D0HH; inchikey:SDEAXTCZPQIFQM-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23521W1S24,2,Clavulanic acid,72,Amoxicillin and clavulanate; Augmentin; Augmentin (Amoxicillin-clavulanic); Augmentin 500Mg Tablet; Augmentin 625 mg,intervention; otherName; stored,unii:23521W1S24; inchikey:HZZVJAQRINQKSD-PBFISZAISA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:236YGP181O,2,Human Rotavirus A Type G3P7(5) Strain WI78 Live Antigen,29,"RotaTeq; RotaTeq (V260); RotaTeq®; RotaTeq®,; RotaTeq™",intervention; otherName,unii:236YGP181O,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2372V1TKXK,2,Lanadelumab,20,DX-2930; DX-2930 (formerly); Lanadelumab; Lanadelumab 150 mg; Lanadelumab 300 mg,intervention; otherName,unii:2372V1TKXK,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2372V1TKXK#flyo,2,Lanadelumab-Flyo,16,DX-2930; DX-2930 (formerly); TAKHZYRO; TAKHZYRO™; Takhzyro,intervention; otherName,unii:2372V1TKXK,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:237GB6IDKO,3,Tigatuzumab,7,CS-1008; CS-1008 (humanized anti-DR5 antibody),intervention,unii:237GB6IDKO,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:238S75V9AV,3,Metopimazine,2,metopimazine mesylate,otherName,unii:238S75V9AV; inchikey:BQDBKDMTIJBJLA-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23AEE4Y4ZC,3,MRNA-0184,3,mRNA-0184,intervention,unii:23AEE4Y4ZC,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23CVL7WF4J,2,Human Papillomavirus,5,Human Papillomavirus,intervention; otherName,unii:23CVL7WF4J,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23HYE36B0I,2,Velaglucerase alfa,14,"VPRIV; VPRIV ®,; VPRIV®; Velaglucerase Alfa; Velaglucerase alfa",intervention; otherName,unii:23HYE36B0I,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23IQ3PO968,3,Atibuclimab,3,Atibuclimab; Atibuclimab (IC14),intervention,unii:23IQ3PO968,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23J303Z5CA,3,Citatuzumab bogatox,1,VB6-845,intervention,unii:23J303Z5CA,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23JE9KDF4R,3,Poliovirus Type 2 Antigen (FORMALDEHYDE INACTIVATED),38,IPOL; IPOL (Sanofi Pasteur); IPOL®; Kinrix; PEDIARIX®,intervention; otherName,unii:23JE9KDF4R,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23KB56UHN9,3,Pagibaximab,3,BSYX-A110; Pagibaximab (formerly BSYX-A110),intervention,unii:23KB56UHN9,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23OW28RS7P,2,Quinupristin,2,Synercid; Synercid®,intervention; otherName,unii:23OW28RS7P; inchikey:WTHRRGMBUAHGNI-LCYNINFDSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23PJ4252VL,3,Sus Scrofa Diencephalon,4,ELEVATE; Elevate,intervention,unii:23PJ4252VL,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23Q8M2HE6S,1,Meclocycline,1,SNX-1012 (meclocycline sulfosalicylate),intervention,unii:23Q8M2HE6S; inchikey:GGQJXCQBBONZFX-IWVLMIASSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23R93M6Y64,3,Chitosan Oligosaccharide,1,Chitosan Oligosaccharide (GO2KA1),intervention,unii:23R93M6Y64,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:23X73B9O6Q,3,Figopitant,1,BIIF 1149 BS,intervention,unii:23X73B9O6Q; inchikey:HUTHJVYJUPXHDF-DEOSSOPVSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:241ATL177A,1,Soybean Oil,87,I.V. Fat Emulsion; INTRALIPID; IntraLipid; Intralipid; Intralipid 10%,intervention; otherName; stored,unii:241ATL177A,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2421HMY9N6,3,TRICIRIBINE,5,Triciribine; Triciribine Phosphate; Triciribine Phosphate Monohydrate,intervention; otherName,unii:2421HMY9N6; inchikey:HOGVTUZUJGHKPL-HTVVRFAVSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2436VX1U9B,2,Ibutilide,8,Corvert (Ibutilide); Ibutilide; Ibutilide fumarate,intervention,unii:2436VX1U9B; inchikey:ALOBUEHUHMBRLE-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:244O1F90NA,2,Mizolastine,1,Mizolastine (imported),intervention,unii:244O1F90NA; inchikey:PVLJETXTTWAYEW-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2456KW2166,3,Bersacapavir,2,JNJ-6379,otherName,unii:2456KW2166; inchikey:SBVBIDUKSBJYEF-VIFPVBQESA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:2494G1JF75,2,Lopinavir,106,ABT-378; KALETRA; KALETRA®; Kaletra; Kaletra (drug),intervention; otherName,unii:2494G1JF75; inchikey:KJHKTHWMRKYKJE-SUGCFTRWSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:249EAP69MT,3,Cofetuzumab pelidotin,2,Cofetuzumab Pelidotin; PF-06647020,intervention; otherName,unii:249EAP69MT,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:24DSZ1VN92,3,SB-743921,2,SB-743921,intervention,unii:24DSZ1VN92; inchikey:PGXYIBJJCLWJST-MUUNZHRXSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:24GP945V5T,2,Barium,5,Barium; Barium Sulfate; Barium Sulfate Solution; barium sulfate tablet,intervention,unii:24GP945V5T; inchikey:DSAJWYNOEDNPEQ-UHFFFAOYSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:24HBF856C8,2,"Egg Shell, Cooked",1,Allergies,otherName,unii:24HBF856C8,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
K1:24MJ822NZ9,1,Pergolide,9,Pergolide; Pergolide (drug); Pergolide (withdrawn from US Market March 2007); pergolide,intervention; otherName,unii:24MJ822NZ9; inchikey:YEHCICAEULNIGD-MZMPZRCHSA-N,no,"ClinicalTrials.gov publishes no UNII, InChIKey or structure on any study record, so a registry link can never be confirmed by rule (a) or (b)."
