form,reason,interaction_pages
buglossoides arvensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
bulbine natalensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
butanol mixed isomers,ambiguous: 2 pages carry this name and they are not forms of one substance,0
butanols,ambiguous: 2 pages carry this name and they are not forms of one substance,0
c12 16 alcohols,"names a class or a group, not this page's substance (no variant of 'cetyl alcohol' and no UNII name for it)",0
c20h10na2o5 fluorescein sodium ophthalmic strips,"names a class or a group, not this page's substance (no variant of 'fluorescein unii tpy09g7xir' and no UNII name for it)",0
c45h50cln7o7s,"names a class or a group, not this page's substance (no variant of 'venetoclax' and no UNII name for it)",0
cactus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cactus grandiflorus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
caffeoylquinic acids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
calc phos,"names a class or a group, not this page's substance (no variant of 'anhydrous dibasic calcium phosphate' and no UNII name for it)",0
calcii carbonas,"names a class or a group, not this page's substance (no variant of 'calcium carbonate' and no UNII name for it)",0
calcii gluconas,"names a class or a group, not this page's substance (no variant of 'calcium gluconate' and no UNII name for it)",0
calcii hydrogenophosphas,"names a class or a group, not this page's substance (no variant of 'anhydrous dibasic calcium phosphate' and no UNII name for it)",0
calcii sulfas,"names a class or a group, not this page's substance (no variant of 'calcium sulfate anhydrous' and no UNII name for it)",0
calcitonin salmon usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
calcium ascorbate anhydrous,"names a class or a group, not this page's substance (no variant of 'ascorbic acid' and no UNII name for it)",0
calcium benzoylas,"names a class or a group, not this page's substance (no variant of 'benzoylpas' and no UNII name for it)",0
calcium benzoylpas,"names a class or a group, not this page's substance (no variant of 'benzoylpas' and no UNII name for it)",0
calcium glubionate anhydrous,"names a class or a group, not this page's substance (no variant of 'lactobionic acid' and no UNII name for it)",0
calcium saccharate anhydrous,"names a class or a group, not this page's substance (no variant of 'glucaric acid' and no UNII name for it)",0
calcium sennosides,ambiguous: 2 pages carry this name and they are not forms of one substance,0
calendula officials flowers,"names a class or a group, not this page's substance (no variant of 'calendula officinalis flower' and no UNII name for it)",0
calendula officinalis,ambiguous: 2 pages carry this name and they are not forms of one substance,0
calenthys,"names a class or a group, not this page's substance (no variant of 'indiplon' and no UNII name for it)",0
calluna vulgaris,ambiguous: 2 pages carry this name and they are not forms of one substance,0
camellia sinensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
camphora hpus,ambiguous: 3 pages carry this name and they are not forms of one substance,0
cannabis,ambiguous: 4 pages carry this name and they are not forms of one substance,0
capreomycini sulfas,"names a class or a group, not this page's substance (no variant of 'capreomycin' and no UNII name for it)",0
capsaicinoids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
capsinoids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
captopress,"names a class or a group, not this page's substance (no variant of 'co zidocapt' and no UNII name for it)",0
carbo vegetabilis 3x hpus,"names a class or a group, not this page's substance (no variant of 'activated charcoal' and no UNII name for it)",0
carmubris,"names a class or a group, not this page's substance (no variant of 'carmustine' and no UNII name for it)",0
carthamus,"names a class or a group, not this page's substance (no variant of 'natural red 26' and no UNII name for it)",0
cartilage drops,"names a class or a group, not this page's substance (no variant of 'bovine type ii collagen nasal septum' and no UNII name for it)",0
casein peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
catarpres tts,"names a class or a group, not this page's substance (no variant of 'clonidine' and no UNII name for it)",0
cbd os,"names a class or a group, not this page's substance (no variant of 'cannabidiol' and no UNII name for it)",0
cch aaes,"names a class or a group, not this page's substance (no variant of 'collagenase' and no UNII name for it)",0
cd3 monoclonal antibodies,"names a class or a group, not this page's substance (no variant of 'otelixizumab' and no UNII name for it)",0
cefepime as,"names a class or a group, not this page's substance (no variant of 'cefepime hydrochloride' and no UNII name for it)",0
cefprozil anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
cefprozil usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
cefthan ds,"names a class or a group, not this page's substance (no variant of 'cefroxadine' and no UNII name for it)",0
celastrus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cellulose ethers,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
centaurium umbellatum flos,ambiguous: 2 pages carry this name and they are not forms of one substance,0
ceramides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cereal grass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cereus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cetylated fatty acids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cheque drops,"names a class or a group, not this page's substance (no variant of 'mibolerone' and no UNII name for it)",0
children s fexofenadine hydrochloride hives,"names a class or a group, not this page's substance (no variant of 'fexofenadine' and no UNII name for it)",0
chinese asparagus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
chinese clematis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
chinese club moss,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
chlorali hydras,"names a class or a group, not this page's substance (no variant of 'chloral hydrate c2h3cl3o2' and no UNII name for it)",0
chloramphenicol usp rs,ambiguous: 3 pages carry this name and they are not forms of one substance,0
chloramphenicoli natrii succinas,"names a class or a group, not this page's substance (no variant of 'chloramphenicol succinate c15h16cl2n2o8' and no UNII name for it)",0
chloramphenicolum hpus,ambiguous: 3 pages carry this name and they are not forms of one substance,0
chloroquini phosphas,"names a class or a group, not this page's substance (no variant of 'chloroquine' and no UNII name for it)",0
chloroquini sulfas,"names a class or a group, not this page's substance (no variant of 'chloroquine' and no UNII name for it)",0
chlorphenamini hydrogenomaleas,"names a class or a group, not this page's substance (no variant of 'chlorphenamine' and no UNII name for it)",0
chlorpheniramine maleate s,"names a class or a group, not this page's substance (no variant of 'dexchlorpheniramine' and no UNII name for it)",0
cholepulvis,"names a class or a group, not this page's substance (no variant of 'iodophthalein sodium' and no UNII name for it)",0
chromium iii chloride anhydrous,"names a class or a group, not this page's substance (no variant of 'chromic chloride' and no UNII name for it)",0
chrysothios,"names a class or a group, not this page's substance (no variant of 'sodium aurothiomalate' and no UNII name for it)",0
cichorium intybus,ambiguous: 2 pages carry this name and they are not forms of one substance,0
cinchona officinalis,ambiguous: 2 pages carry this name and they are not forms of one substance,0
cinnamaldehydes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cisapride usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
cissus quadrangularis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cissus sicyoides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cistus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
citalopram oxalate s,"names a class or a group, not this page's substance (no variant of 'escitalopram' and no UNII name for it)",0
citric acid anhydrous,ambiguous: 21 pages carry this name and they are not forms of one substance,0
citricum acidum hpus,ambiguous: 21 pages carry this name and they are not forms of one substance,0
citrus junos,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
citrus sinensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cleaning solution for hemodialysis machines,"names a class or a group, not this page's substance (no variant of 'anhydrous citric acid' and no UNII name for it)",0
cleavers,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
clematis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
clerodendrum phlomidis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
clintabs,"names a class or a group, not this page's substance (no variant of 'clindamycin c18h33cln2o5s' and no UNII name for it)",0
clivers,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
clocortolone usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
clodronate disodium anhydrous,"names a class or a group, not this page's substance (no variant of 'clodronic acid' and no UNII name for it)",0
clofenvinfos,"names a class or a group, not this page's substance (no variant of 'chlorfenvinphos z' and no UNII name for it)",0
clofenvinphos,"names a class or a group, not this page's substance (no variant of 'chlorfenvinphos z' and no UNII name for it)",0
clomifeni citras,"names a class or a group, not this page's substance (no variant of 'clomifene' and no UNII name for it)",0
clorfenvinfos,"names a class or a group, not this page's substance (no variant of 'chlorfenvinphos z' and no UNII name for it)",0
clorpres,"names a class or a group, not this page's substance (no variant of 'clonidine' and no UNII name for it)",0
clostridium histolyticum enzymes,"names a class or a group, not this page's substance (no variant of 'collagenase' and no UNII name for it)",0
club moss,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cobaltamin s,"names a class or a group, not this page's substance (no variant of 'cobamamide' and no UNII name for it)",0
cobaltous,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
codeine phosphate anhydrous,"names a class or a group, not this page's substance (no variant of 'codeine anhydrous' and no UNII name for it)",0
codeine sulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'codeine anhydrous' and no UNII name for it)",0
codeini phosphas,"names a class or a group, not this page's substance (no variant of 'codeine anhydrous' and no UNII name for it)",0
codonopsis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cold stored platelets,"names a class or a group, not this page's substance (no variant of 'platelets' and no UNII name for it)",0
coleus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
collagen drops,"names a class or a group, not this page's substance (no variant of 'bovine type i collagen achilles tendon' and no UNII name for it)",0
collagen peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
colon drops,"names a class or a group, not this page's substance (no variant of 'bos taurus colon' and no UNII name for it)",0
colostrum peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
combipres,"names a class or a group, not this page's substance (no variant of 'clonidine' and no UNII name for it)",0
comfortis,"names a class or a group, not this page's substance (no variant of 'spinosad factor d' and no UNII name for it)",0
commiphora gileadensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
common thatching grass,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
compound alverine citrate capsules,"names a class or a group, not this page's substance (no variant of 'alverine' and no UNII name for it)",0
condonopsis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
conjugated equine estrogens,ambiguous: 2 pages carry this name and they are not forms of one substance,0
convolvulus pluricaulis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
convolvulus prostratis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
convolvulus prostratus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
conyza canadensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
copper ii sulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'cupric sulfate h10cuo9s' and no UNII name for it)",0
copperas,"names a class or a group, not this page's substance (no variant of 'ferrous sulfate h14feo11s' and no UNII name for it)",0
coreg 12 5 mg tablets,"names a class or a group, not this page's substance (no variant of 'carvedilol' and no UNII name for it)",0
corplex donepezil tds,"names a class or a group, not this page's substance (no variant of 'donepezil' and no UNII name for it)",0
correctol tablets caplets,"names a class or a group, not this page's substance (no variant of 'bisacodyl' and no UNII name for it)",0
corticotropin usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
corynebacterium stationis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
costus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
covi drops,"names a class or a group, not this page's substance (no variant of 'plutavimab' and no UNII name for it)",0
crataegus oxyacantha hpus,"names a class or a group, not this page's substance (no variant of 'crataegus fruit' and no UNII name for it)",0
croton seeds,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
crustaceans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
crysticillin a s,"names a class or a group, not this page's substance (no variant of 'penicillin g procaine' and no UNII name for it)",0
cs 7017 anhydrous,"names a class or a group, not this page's substance (no variant of 'efatutazone' and no UNII name for it)",0
cubebs,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cupric chloride anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
cupric sulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'cupric sulfate h10cuo9s' and no UNII name for it)",0
cupric sulfate component of multrys,"names a class or a group, not this page's substance (no variant of 'cupric sulfate h10cuo9s' and no UNII name for it)",0
cupric sulphate anhydrous,"names a class or a group, not this page's substance (no variant of 'cupric sulfate h10cuo9s' and no UNII name for it)",0
curculigo orchicides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cutina gms,"names a class or a group, not this page's substance (no variant of 'glyceryl 1 stearate cyclooxygenase 2' and no UNII name for it)",0
cyclin dependent kinase 4 6 inhibitors,"names a class or a group, not this page's substance (no variant of 'palbociclib' and no UNII name for it)",0
cyperus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cyperus rotundus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
cypress,"names a class or a group, not this page's substance (no variant of 'cupressus sempervirens leaf oil' and no UNII name for it)",0
d glucose anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
dcll9718s,"names a class or a group, not this page's substance (no variant of 'dcll 9718s' and no UNII name for it)",0
deamelin s,"names a class or a group, not this page's substance (no variant of 'glyclopyramide' and no UNII name for it)",0
deferoxamini mesilas,"names a class or a group, not this page's substance (no variant of 'deferoxamine' and no UNII name for it)",0
depakote dr 500 mg tablets,"names a class or a group, not this page's substance (no variant of 'valproic acid' and no UNII name for it)",0
depakote er 500 mg tablets,"names a class or a group, not this page's substance (no variant of 'valproic acid' and no UNII name for it)",0
depakote sprinkle capsules,"names a class or a group, not this page's substance (no variant of 'valproic acid' and no UNII name for it)",0
depakote tablets,"names a class or a group, not this page's substance (no variant of 'valproic acid' and no UNII name for it)",0
dermafos,"names a class or a group, not this page's substance (no variant of 'fenclofos' and no UNII name for it)",0
desenovis,"names a class or a group, not this page's substance (no variant of 'xenyhexenic acid' and no UNII name for it)",0
desmodium adscendens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
desoxyn methamphetamine hydrochloride tablets plus generics,"names a class or a group, not this page's substance (no variant of 'metamfetamine' and no UNII name for it)",0
dexamethasone usp rs,ambiguous: 5 pages carry this name and they are not forms of one substance,0
dexamethasoni acetas,"names a class or a group, not this page's substance (no variant of 'dexamethasone acetate anhydrous c24h31fo6' and no UNII name for it)",0
dextroamphetamine sulfate component of mydayis,"names a class or a group, not this page's substance (no variant of 'dexamfetamine' and no UNII name for it)",0
dextrose anhydrous,ambiguous: 3 pages carry this name and they are not forms of one substance,0
dextrose usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
diabefagos,"names a class or a group, not this page's substance (no variant of 'metformin c4h11n5' and no UNII name for it)",0
dianthus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
dicalcium phosphate anhydrous,"names a class or a group, not this page's substance (no variant of 'anhydrous dibasic calcium phosphate' and no UNII name for it)",0
difenphos,"names a class or a group, not this page's substance (no variant of 'temefos' and no UNII name for it)",0
difos,"names a class or a group, not this page's substance (no variant of 'temefos' and no UNII name for it)",0
dilospan s,"names a class or a group, not this page's substance (no variant of 'phloroglucinol' and no UNII name for it)",0
diloxanidi furoas,"names a class or a group, not this page's substance (no variant of 'diloxanide furoate' and no UNII name for it)",0
diluted isosorbide dinitrate rs,"names a class or a group, not this page's substance (no variant of 'isosorbide dinitrate' and no UNII name for it)",0
dimethicones,ambiguous: 2 pages carry this name and they are not forms of one substance,0
dimorphandra mollis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
dinatrii edetas,"names a class or a group, not this page's substance (no variant of 'edetic acid' and no UNII name for it)",0
dipeptidyl peptidase 4 inhibitors,ambiguous: 2 pages carry this name and they are not forms of one substance,0
diphos,"names a class or a group, not this page's substance (no variant of 'temefos' and no UNII name for it)",0
dipsacus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
dipsacus asperloids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
dipyrone anhydrous,"names a class or a group, not this page's substance (no variant of 'metamizole' and no UNII name for it)",0
diso duriles,"names a class or a group, not this page's substance (no variant of 'disopyramide' and no UNII name for it)",0
ditropan xl tablets,"names a class or a group, not this page's substance (no variant of 'oxybutynin' and no UNII name for it)",0
diuriwas,"names a class or a group, not this page's substance (no variant of 'acetazolamide' and no UNII name for it)",0
divalproex sodium coated particles in capsules,"names a class or a group, not this page's substance (no variant of 'valproic acid' and no UNII name for it)",0
dolichos,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
dolichos biflorus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
dopress,"names a class or a group, not this page's substance (no variant of 'dosulepin' and no UNII name for it)",0
doxycyclini hyclas,"names a class or a group, not this page's substance (no variant of 'doxycycline anhydrous' and no UNII name for it)",0
dry concentrate for hemodialysis,"names a class or a group, not this page's substance (no variant of 'potassium chlorate' and no UNII name for it)",0
dsta4637s,"names a class or a group, not this page's substance (no variant of 'dsta 4637s' and no UNII name for it)",0
dstp 3086s,"names a class or a group, not this page's substance (no variant of 'vandortuzumab' and no UNII name for it)",0
dstp3086s,"names a class or a group, not this page's substance (no variant of 'vandortuzumab' and no UNII name for it)",0
dvs anhydrous,"names a class or a group, not this page's substance (no variant of 'desvenlafaxine' and no UNII name for it)",0
e cigarettes,"names a class or a group, not this page's substance (no variant of 'nicotine' and no UNII name for it)",0
e4 hydrous,"names a class or a group, not this page's substance (no variant of 'estetrol anhydrous' and no UNII name for it)",0
eascs,"names a class or a group, not this page's substance (no variant of 'darvadstrocel' and no UNII name for it)",0
ec mps,"names a class or a group, not this page's substance (no variant of 'mycophenolic acid' and no UNII name for it)",0
echinacosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
echinocaulon acerosus,"names a class or a group, not this page's substance (no variant of 'agar' and no UNII name for it)",0
ecmps,"names a class or a group, not this page's substance (no variant of 'mycophenolic acid' and no UNII name for it)",0
econopred plus,"names a class or a group, not this page's substance (no variant of 'prednisolone acetate' and no UNII name for it)",0
ectris,"names a class or a group, not this page's substance (no variant of 'flibanserin' and no UNII name for it)",0
edetate calcium disodium anhydrous,"names a class or a group, not this page's substance (no variant of 'edetic acid' and no UNII name for it)",0
edetate disodium anhydrous,"names a class or a group, not this page's substance (no variant of 'edetic acid' and no UNII name for it)",0
edta disodium salt anhydrous,"names a class or a group, not this page's substance (no variant of 'edetic acid' and no UNII name for it)",0
eecss,"names a class or a group, not this page's substance (no variant of 'everolimus' and no UNII name for it)",0
egfr tkis,ambiguous: 2 pages carry this name and they are not forms of one substance,0
egg oil phospholipids,ambiguous: 2 pages carry this name and they are not forms of one substance,0
egg phosphatides,ambiguous: 2 pages carry this name and they are not forms of one substance,0
egg yolk lecithins,ambiguous: 2 pages carry this name and they are not forms of one substance,0
egg yolk phosphatides,ambiguous: 2 pages carry this name and they are not forms of one substance,0
egg yolk phospholipids,ambiguous: 2 pages carry this name and they are not forms of one substance,0
egyptian lotus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
electronic cigarettes,"names a class or a group, not this page's substance (no variant of 'nicotine' and no UNII name for it)",0
eleutherococcus gracilistylus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
eleutherococcus senticosus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
embelia ribes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
empetus,"names a class or a group, not this page's substance (no variant of 'ritonavir' and no UNII name for it)",0
en 1639a as,"names a class or a group, not this page's substance (no variant of 'naltrexone' and no UNII name for it)",0
enalapril diacid dihydrate anhydrous,"names a class or a group, not this page's substance (no variant of 'enalaprilat anhydrous' and no UNII name for it)",0
encapsulated mesalamine granules,"names a class or a group, not this page's substance (no variant of 'mesalazine' and no UNII name for it)",0
engensis,"names a class or a group, not this page's substance (no variant of 'donaperminogene seltoplasmid' and no UNII name for it)",0
enlon plus,"names a class or a group, not this page's substance (no variant of 'edrophonium' and no UNII name for it)",0
epag pfos,"names a class or a group, not this page's substance (no variant of 'eltrombopag' and no UNII name for it)",0
ephedrini sulfas,"names a class or a group, not this page's substance (no variant of 'ephedrine' and no UNII name for it)",0
ephedrinum anhydrous,"names a class or a group, not this page's substance (no variant of 'ephedrine' and no UNII name for it)",0
epididymis drops,"names a class or a group, not this page's substance (no variant of 'campath 1 antigen' and no UNII name for it)",0
epinephrine 0 15 pediatrics,"names a class or a group, not this page's substance (no variant of 'adrenaline' and no UNII name for it)",0
epinephrini hydrogenotartras,"names a class or a group, not this page's substance (no variant of 'epinephrine' and no UNII name for it)",0
equimolar mixture of oxygen and nitrous,ambiguous: 2 pages carry this name and they are not forms of one substance,0
ergometrini hydrogenomaleas,"names a class or a group, not this page's substance (no variant of 'ergometrine' and no UNII name for it)",0
ergotamini tartras,"names a class or a group, not this page's substance (no variant of 'ergotamine' and no UNII name for it)",0
eria jarensis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
erythromycini lactobionas,"names a class or a group, not this page's substance (no variant of 'erythromycin lactobionate' and no UNII name for it)",0
erythromycini stearas,"names a class or a group, not this page's substance (no variant of 'erythromycin' and no UNII name for it)",0
erythropalum scandens,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
erythropoietin for bioassays,"names a class or a group, not this page's substance (no variant of 'epoetin alfa' and no UNII name for it)",0
escin usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
essential oils,"names a class or a group, not this page's substance (no variant of 'thymol' and no UNII name for it)",0
estramustine 17 dihydrogenphosphate disodium salt anhydrous,"names a class or a group, not this page's substance (no variant of 'estramustine phosphate c23h32cl2no6p' and no UNII name for it)",0
estratest tablets,ambiguous: 2 pages carry this name and they are not forms of one substance,0
esucos,"names a class or a group, not this page's substance (no variant of 'dixyrazine' and no UNII name for it)",0
ethanol anhydrous,"names a class or a group, not this page's substance (no variant of 'dehydrated alcohol' and no UNII name for it)",0
ethanol in alcoholic beverages,"names a class or a group, not this page's substance (no variant of 'dehydrated alcohol' and no UNII name for it)",0
ethylcelluloses,"names a class or a group, not this page's substance (no variant of 'ethylcellulose 10 mpa s' and no UNII name for it)",0
ethylis hydroxybenzoas,"names a class or a group, not this page's substance (no variant of 'ethylparaben' and no UNII name for it)",0
etoposide usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
eu lantus,"names a class or a group, not this page's substance (no variant of 'insulin glargine' and no UNII name for it)",0
eucommia ulmoides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
eucreas,ambiguous: 2 pages carry this name and they are not forms of one substance,0
european elderberry constituents,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
eurypeptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
eutectic mixture of local anesthetics,"names a class or a group, not this page's substance (no variant of 'prilocaine' and no UNII name for it)",0
evac q tabs,"names a class or a group, not this page's substance (no variant of 'bisacodyl' and no UNII name for it)",0
exenatide usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
extended intestinal release eir tablets,"names a class or a group, not this page's substance (no variant of 'rifaximin' and no UNII name for it)",0
extrafolate s,"names a class or a group, not this page's substance (no variant of 'levomefolic acid' and no UNII name for it)",0
fadogia agrestis,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
fatty acid esters,"names a class or a group, not this page's substance (no variant of 'formic acid' and no UNII name for it)",0
feen a mint tablets,"names a class or a group, not this page's substance (no variant of 'bisacodyl' and no UNII name for it)",0
fema no 3026 anhydrous,"names a class or a group, not this page's substance (no variant of 'anhydrous trisodium citrate' and no UNII name for it)",0
ferr phos,ambiguous: 2 pages carry this name and they are not forms of one substance,0
ferric sulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'ferric sulfate h10fe2o17s3' and no UNII name for it)",0
ferrosi fumaras,"names a class or a group, not this page's substance (no variant of 'ferrous fumarate c4h2feo4' and no UNII name for it)",0
ferrosi sulfas,"names a class or a group, not this page's substance (no variant of 'ferrous sulfate h14feo11s' and no UNII name for it)",0
ferrous,ambiguous: 17 pages carry this name and they are not forms of one substance,0
ferrous sulfate anhydrous,"names a class or a group, not this page's substance (no variant of 'ferrous sulfate h14feo11s' and no UNII name for it)",0
ferrous sulphate anhydrous,"names a class or a group, not this page's substance (no variant of 'ferrous sulfate h14feo11s' and no UNII name for it)",0
fibrobacter succinogenes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
fibroins,"names a class or a group, not this page's substance (no variant of 'silk fibroin' and no UNII name for it)",0
field penny cress,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
finger cactus,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
fish peptides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flammulina velutipes,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flammulina velutpies,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flavanols,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flavanones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flavoglycosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flavones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flavonoid glycosides,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flavonoids,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flavonones,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flax lignans,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
flivas,"names a class or a group, not this page's substance (no variant of 'naftopidil' and no UNII name for it)",0
flomax capsules,"names a class or a group, not this page's substance (no variant of 'tamsulosin' and no UNII name for it)",0
floxacillin sodium anhydrous,"names a class or a group, not this page's substance (no variant of 'flucloxacillin' and no UNII name for it)",0
fludrocortisoni acetas,"names a class or a group, not this page's substance (no variant of 'fludrocortisone acetate' and no UNII name for it)",0
fluorescein usp rs,ambiguous: 2 pages carry this name and they are not forms of one substance,0
fluoride as,"names a class or a group, not this page's substance (no variant of 'sodium fluoride' and no UNII name for it)",0
fluoropyrimidines,"names a class or a group, not this page's substance (no variant of 'fluorouracil' and no UNII name for it)",0
fluphenazini decanoas,"names a class or a group, not this page's substance (no variant of 'fluphenazine decanoate' and no UNII name for it)",0
fluphenazini enantas,"names a class or a group, not this page's substance (no variant of 'fluphenazine enanthate' and no UNII name for it)",0
fluticaps,"names a class or a group, not this page's substance (no variant of 'fluticasone propionate progesterone receptor' and no UNII name for it)",0
fluvas,"names a class or a group, not this page's substance (no variant of 'fluvastatin' and no UNII name for it)",0
fml s,"names a class or a group, not this page's substance (no variant of 'sulfacetamide' and no UNII name for it)",0
folettes,"names a class or a group, not this page's substance (no variant of 'folic acid' and no UNII name for it)",0
fomes fomentarius,"the page carries no UNII and no InChIKey, so the name cannot be resolved to a substance",0
fortius,"names a class or a group, not this page's substance (no variant of 'rosuvastatin' and no UNII name for it)",0
fosfonet sodium anhydrous,"names a class or a group, not this page's substance (no variant of 'phosphonoacetic acid' and no UNII name for it)",0
fructooligosaccharides,"names a class or a group, not this page's substance (no variant of 'beta d fructofuranose' and no UNII name for it)",0
fsh menotropins,"names a class or a group, not this page's substance (no variant of 'follicle stimulating hormone porcine' and no UNII name for it)",0
fucoxanthin all trans,ambiguous: 2 pages carry this name and they are not forms of one substance,0
fucus acerosus,"names a class or a group, not this page's substance (no variant of 'agar' and no UNII name for it)",0
