licenceNumber,productName,activeIngredients,forensicClassification,reason
SIN10608P,IMOVAX POLIO INJECTION,Inactivated Poliomyelitis Virus Type 1 (Mahoney)&&Inactivated Poliomyelitis Virus Type 2 (MEF-1)&&Inactivated Poliomyelitis Virus Type 3 (Saukett),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14948P,ENTRESTO FILM COATED TABLET 100MG,Sacubitril/Valsartan Sodium salt complex 113.103mg eqv sacubitril/valsartan free anhydrous acid,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15749P,BAT STERILE SOLUTION FOR INJECTION,Botulism Antitoxin (Equine) Serotype A&&Botulism Antitoxin (Equine) Serotype B&&Botulism Antitoxin (Equine) Serotype C&&Botulism Antitoxin (Equine) Serotype D&&Botulism Antitoxin (Equine) Serotype E&&Botulism Antitoxin (Equine) Serotype F&&Botulism Antitoxin (Equine) Serotype G,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN11783P,KOATE-DVI FOR INJECTION 1000 iu/10 ml,ANTIHEMOPHILIC FACTOR (HUMAN) (FACTOR VIII),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13627P,Priorix-Tetra,Live attenuated measles virus (Schwarz strain)&&Live attenuated mumps virus (RIT4385 strain)&&Live attenuated rubella virus (Wistar RA 27/3 strain)&&Live attenuated varicella virus (OKA strain),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN05994P,GRAFALON 20 mg/ml,RABBIT ANTI-HUMAN T-LYMPHOCYTE IMMUNOGLOBULIN,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16454P,MENQUADFI SOLUTION FOR INJECTION,"Meningococcal Polysaccharide, Serogroup A (Monovalent Conjugate)&&Meningococcal Polysaccharide, Serogroup C (Monovalent Conjugate)&&Meningococcal Polysaccharide, Serogroup W-135 (Monovalent Conjugate)&&Meningococcal Polysaccharide, Serogroup Y (Monovalent Conjugate)&&Tetanus Toxoid, Filtered Concentrate (Carrier Protein)",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17384P,"Nuvaxovid Dispersion for Injection COVID19 Vaccine 5mcg/dose (recombinant, adjuvanted) in PFS",SARS-CoV-2 recombinant spike protein (Omicron JN.1),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16396P,"COMIRNATY, Dispersion for Injection, 30 micrograms/dose",mRNA encoding LP.8.1.,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15510P,GLYDEX IV Solution for Injection 1mg/ml,Glyceryl trinitrate(GTN in 2% Glucose,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17298P,FLUMIST TRIVALENT INFLUENZA INTRANASAL VACCINE,Influenza virus (NH) A/Croatia/10136RV/2023 (H3N2)-like virus (A/Perth/722/2024)&&Influenza virus (NH) A/Victoria/4897/2022 (H1N1) pdm09 - like virus (A/Norway/31694/2022)&&Influenza virus (NH) B/Austria/1359417/2021 (B/Victoria lineage) - like virus (B/Austria/1359417/2021),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14586P,XEOMIN® POWDER FOR SOLUTION FOR INJECTION 50 UNITS/VIAL,"Clostridium Botulinum neurotoxin type A (150 kDa), free from complexing proteins",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09728P,HAVRIX JUNIOR VACCINE 720 elisa units/0.5 ml,HEPATITIS A VIRUS INACTIVATED,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17008P,AREXVY Powder and Suspension for Suspension for Injection 120mcg/0.5mL,RSVPreF3 antigen,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13748P,ACAM2000,LIVE VACCINA VIRUS,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16917P,PLUVICTO SOLUTION FOR INJECTION/INFUSION 1000 MBq/mL,Lutetium (177 Lu) vipivotide tetraxetan,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN08682P,STAMARIL VACCINE,LIVE ATTENUATED YELLOW FEVER VIRUS STRAIN 17 D,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15634P,TRUMENBA SUSPENSION FOR INJECTION IN SINGLE-DOSE PRE-FILLED SYRINGE 0.5ML,Neisseria Meningitidis Serogroup B Recombinant LP2086 Subfamily A Protein&&Neisseria Meningitidis Serogroup B Recombinant LP2086 Subfamily B Protein,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17016P,"COMIRNATY, DISPERSION FOR INJECTION, 30 MICROGRAMS/DOSE (SINGLE-DOSE VIAL)",Bretovameran,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13933P,NovoSeven® powder and solvent for solution for injection 1mg,Eptacog alfa (activated)/rFVIIa,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13934P,NovoSeven® powder and solvent for solution for injection 2mg,Eptacog alfa (activated)/rFVIIa,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17235P,"COMIRNATY, DISPERSION FOR INJECTION IN PRE-FILLED SYRINGE, 30 MICROGRAMS/DOSE",mRNA encoding LP.8.1.,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16835P,Spikevax 0.1 mg/mL dispersion for injection,SARS-CoV-2 LP.8.1 mRNA,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17128P,Spikevax dispersion for injection 50mcg/0.5ml in pre‐filled syringe,SARS CoV-2 LP.8.1 mRNA,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16079P,SHINGRIX POWDER AND SUSPENSION FOR SUSPENSION FOR INJECTION 50MCG/0.5ML,Recombinant Varicella Zoster Virus glycoprotein E,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14083P,Menveo Powder and Solution for Solution for Injection,(MenA Lyo) Meningococcal Group A oligosaccharide conjugated to CRM197 protein&&(MenCWY) Meningococcal Group C oligosaccharide conjugated to CRM197 protein&&(MenCWY) Meningococcal Group W-135 oligosaccharide conjugated to CRM197 protein&&(MenCWY) Meningococcal Group Y oligosaccharide conjugated to CRM197 protein,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN11785P,KOATE-DVI FOR INJECTION 250 iu/5 ml,ANTIHEMOPHILIC FACTOR (HUMAN) (FACTOR VIII),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14760P,FLUARIX TETRA SUSPENSION FOR INJECTION,Influenza Virus (SH) A/Missouri/11/2025 (H1N1)pdm09-like strain&&Influenza Virus (SH) A/Singapore/GP20238/2024 (H3N2)-like strain&&Influenza Virus (SH) B/Austria/1359417/2021 - like strain&&Influenza Virus (SH) B/Phuket/3073/2013-like strain,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN02854P,HYOMIDE TABLET 10 mg,HYOSCINE N-BUTYLBROMIDE,Pharmacy Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13202P,RABIPUR,Inactivated rabies virus (strain Flury LEP),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN11784P,KOATE-DVI FOR INJECTION 500 iu/5 ml,ANTIHEMOPHILIC FACTOR (HUMAN) (FACTOR VIII),Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14662P,Pethidine-hameln Solution for Injection 50mg/ml,Pethidine 43.57mg as Pethidine Hydrochloride,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN16886P,"NUVAXOVID DISPERSION FOR INJECTION COVID-19 VACCINE 5 µg/dose (RECOMBINANT, ADJUVANTED)",SARS-CoV-2 recombinant spike protein,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17277P,Vaxigrip Vaccine,"A/Missouri/11/2025 (H1N1)pdm09-like strain (A/Switzerland/6849/2025, IVR-278)&&A/Singapore/GP20238/2024 (H3N2)-like strain (A/Singapore/GP20238/2024, IVR-277)&&B/Austria/1359417/2021-like strain (B/Michigan/01/2021, wild type)",Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN09859P,HIBERIX VACCINE 10 mcg/0.5 ml,PURIFIED CAPSULAR POLYSACCHARIDE OF HIB,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN14949P,ENTRESTO FILM COATED TABLET 200MG,Sacubitril/Valsartan Sodium salt complex 226.206mg eqv sacubitril/valsartan free anhydrous acid,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN13330P,PY TEST CAPSULES & PY TEST KIT,14-C UREA,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN17468P,FLUARIX SUSPENSION FOR INJECTION,Influenza Virus (NH) A/Thailand/8/2022 (H3N2)-like strain&&Influenza Virus (NH) A/Victoria/4897/2022 (H1N1)pdm09-like strain&&Influenza Virus (NH) B/Austria/1359417/2021-like strain,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
SIN15499P,HIZENTRA SOLUTION FOR SUBCUTANEOUS INJECTION 200g/L,Human Immunoglobulin,Prescription Only,"no component of this product resolved to a UNII held by a corpus page, to an InChIKey or skeleton held by a page, or to a single page by normalised name"
