page_a,page_b,why_unresolved,evidence
K1:125DP6010H,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:P14877CDX2"", ""K1:125DP6010H""], ""origin"": ""suspected-nominal:polyestradiol""}"
K1:125DP6010H,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:125DP6010H"", ""K1:P14877CDX2""], ""origin"": ""slug-collision:polyestradiol""}"
K1:276897E67U,K1:P2Y1C6M9PS,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Potassium LACTATE, DL-"", ""b"": ""Sodium LACTATE, L-"", ""gsrs_relationship"": null, ""inchikey_a"": ""PHZLMBHDXVLRIX-UHFFFAOYSA-M"", ""inchikey_b"": ""NGSFWBMYFKHRBD-DKWTVANSSA-M"", ""name_a"": ""potassium"", ""name_b"": ""sodium"", ""origin"": ""suspected-nominal:lactate"", ""unii_a"": ""276897E67U"", ""unii_b"": ""P2Y1C6M9PS""}"
K1:2H1PA8H1EN,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:3HP012Q0FH"", ""K1:2H1PA8H1EN""], ""origin"": ""suspected-nominal:pegaptanib""}"
K1:2H1PA8H1EN,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:2H1PA8H1EN"", ""K1:3HP012Q0FH""], ""origin"": ""slug-collision:pegaptanib""}"
K1:2URQ2N32W3,K1:P2Y1C6M9PS,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Calcium Lactate"", ""b"": ""Sodium LACTATE, L-"", ""gsrs_relationship"": null, ""inchikey_a"": ""MKJXYGKVIBWPFZ-UHFFFAOYSA-L"", ""inchikey_b"": ""NGSFWBMYFKHRBD-DKWTVANSSA-M"", ""name_a"": ""calcium"", ""name_b"": ""sodium"", ""origin"": ""suspected-nominal:lactate"", ""unii_a"": ""2URQ2N32W3"", ""unii_b"": ""P2Y1C6M9PS""}"
K1:305OE8862Y,K2:PNMZQWKBJIQQJL-FAUHKOHMSA-N,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""Corticorelin"", ""b"": ""HUMAN CORTICOTROPIN RELEASING FACTOR"", ""inchikey_a"": ""GBONBLHJMVUBSJ-FAUHKOHMSA-N"", ""inchikey_b"": ""PNMZQWKBJIQQJL-FAUHKOHMSA-N"", ""origin"": ""unii:305OE8862Y"", ""unii"": ""305OE8862Y"", ""unii_source_a"": ""page-key"", ""unii_source_b"": ""page-field""}"
K1:32526637PN,K1:1RTM4PAL0V,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Piperazine"", ""b"": ""2,4,5-TRICHLOROPHENOL"", ""inchikey_child"": ""LHJGJYXLEPZJPM-UHFFFAOYSA-N"", ""inchikey_parent"": ""GLUUGHFHXGJENI-UHFFFAOYSA-N"", ""name_child"": ""2 4 5 trichlorophenol"", ""name_parent"": ""piperazine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:3KX376GY7L,K1:9BKY99A8HJ,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Glutamic acid"", ""b"": ""N-(P-AMINOBENZOYL)GLUTAMIC Acid"", ""gsrs_relationship"": null, ""inchikey_a"": ""WHUUTDBJXJRKMK-VKHMYHEASA-N"", ""inchikey_b"": ""GADGMZDHLQLZRI-VIFPVBQESA-N"", ""name_a"": ""glutamic acid"", ""name_b"": ""n p aminobenzoyl glutamic acid"", ""origin"": ""suspected-nominal:glutamic acid"", ""unii_a"": ""3KX376GY7L"", ""unii_b"": ""9BKY99A8HJ""}"
K1:3U979E1001,K1:UT2BA2O3KN,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Imciromab Pentetate"", ""b"": ""Imciromab"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""imciromab pentetate"", ""name_b"": ""imciromab"", ""origin"": ""suspected-nominal:imciromab"", ""unii_a"": ""3U979E1001"", ""unii_b"": ""UT2BA2O3KN""}"
K1:3Z252A2K9G,K1:66YXD4DKO9,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Almond"", ""b"": ""Almond Oil"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""almond"", ""name_b"": ""almond oil"", ""origin"": ""suspected-nominal:almond"", ""unii_a"": ""3Z252A2K9G"", ""unii_b"": ""66YXD4DKO9""}"
K1:415SHH325A,K1:AB2MK88Y6D,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Adenosine phosphate"", ""b"": ""PIA, (S)-"", ""gsrs_relationship"": null, ""inchikey_a"": ""UDMBCSSLTHHNCD-KQYNXXCUSA-N"", ""inchikey_b"": ""RIRGCFBBHQEQQH-KFAHYOAQSA-N"", ""name_a"": ""adenosine"", ""name_b"": ""pia"", ""origin"": ""suspected-nominal:adenosine"", ""unii_a"": ""415SHH325A"", ""unii_b"": ""AB2MK88Y6D""}"
K1:4VBL71TY4Y,K1:65UEH262IS,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Safflower"", ""b"": ""Safflower Oil"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""safflower"", ""name_b"": ""safflower oil"", ""origin"": ""suspected-nominal:safflower"", ""unii_a"": ""4VBL71TY4Y"", ""unii_b"": ""65UEH262IS""}"
K1:4XTQ10247Y,K1:L7T10EIP3A,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""CHERRY JUICE"", ""b"": ""MENTHOL, Unspecified Form"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": ""NOOLISFMXDJSKH-UHFFFAOYSA-N"", ""name_a"": ""cherry juice"", ""name_b"": ""menthol unspecified form"", ""origin"": ""suspected-nominal:cherry"", ""unii_a"": ""4XTQ10247Y"", ""unii_b"": ""L7T10EIP3A""}"
K1:5A9KE2L9L3,K1:5EVU04N5QU,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Orange Juice"", ""b"": ""Orange"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""orange juice"", ""name_b"": ""orange"", ""origin"": ""suspected-nominal:orange"", ""unii_a"": ""5A9KE2L9L3"", ""unii_b"": ""5EVU04N5QU""}"
K1:6VNO72PFC1,K1:SDS87L369F,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Avocado Oil"", ""b"": ""Avocado"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""avocado oil"", ""name_b"": ""avocado"", ""origin"": ""suspected-nominal:avocado"", ""unii_a"": ""6VNO72PFC1"", ""unii_b"": ""SDS87L369F""}"
K1:86117BWO7P,HOLD:existing:anhydrous-citric-acid,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Anhydrous Citric Acid"", ""b"": ""Calcium Citrate Anhydrous"", ""inchikey_child"": ""FNAQSUUGMSOBHW-UHFFFAOYSA-H"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""calcium"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:86117BWO7P,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Calcium Citrate Anhydrous"", ""b"": ""Anhydrous Citric Acid"", ""inchikey_child"": ""FNAQSUUGMSOBHW-UHFFFAOYSA-H"", ""inchikey_parent"": ""KRKNYBCHXYNGOX-UHFFFAOYSA-N"", ""name_child"": ""calcium"", ""name_parent"": ""anhydrous citric acid"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:8620H6K4QH,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Acetophenazine"", ""b"": ""MALEIC ACID"", ""inchikey_child"": ""WNTYBHLDCKXEOT-UHFFFAOYSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""acetophenazine"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:888Y08971B,K1:B035PIS86W,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Ceruletide"", ""b"": ""DIETHYLAMINE"", ""inchikey_child"": ""YRALAIOMGQZKOW-HYAOXDFASA-N"", ""inchikey_parent"": ""HPNMFZURTQLUMO-UHFFFAOYSA-N"", ""name_child"": ""ceruletide"", ""name_parent"": ""diethylamine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:89243S03TE,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:00IBG87IQW"", ""K1:89243S03TE""], ""origin"": ""suspected-nominal:sermorelin""}"
K1:89243S03TE,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:89243S03TE"", ""K1:00IBG87IQW""], ""origin"": ""slug-collision:sermorelin""}"
K1:8GOM182CI3,K4:eurycoma longifolia,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Eurycoma Longifolia Whole"", ""b"": ""Eurycoma Longifolia"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""eurycoma longifolia whole"", ""name_b"": ""eurycoma longifolia"", ""origin"": ""suspected-nominal:eurycoma longifolia"", ""unii_a"": ""8GOM182CI3"", ""unii_b"": null}"
K1:9BKY99A8HJ,K1:M0C2SP444T,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""N-(P-AMINOBENZOYL)GLUTAMIC Acid"", ""b"": ""GLUTAMIC ACID HYDROCHLORIDE"", ""gsrs_relationship"": null, ""inchikey_a"": ""GADGMZDHLQLZRI-VIFPVBQESA-N"", ""inchikey_b"": ""RPAJSBKBKSSMLJ-DFWYDOINSA-N"", ""name_a"": ""n p aminobenzoyl glutamic acid"", ""name_b"": ""glutamic acid"", ""origin"": ""suspected-nominal:glutamic acid"", ""unii_a"": ""9BKY99A8HJ"", ""unii_b"": ""M0C2SP444T""}"
K1:9M48M2SF02,K1:NDP0H8E844,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""TECHNETIUM TC 99M DEPREOTIDE"", ""b"": ""Depreotide"", ""inchikey_child"": ""MCEOYGQHDKBYFT-KTABZWLNSA-N"", ""inchikey_parent"": ""XXXSJQLZVNKRKX-YQRDHHIGSA-N"", ""name_child"": ""technetium tc 99m depreotide"", ""name_parent"": ""depreotide"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:AB2794W8KV,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Phendimetrazine"", ""b"": ""TARTARIC ACID"", ""inchikey_child"": ""MFOCDFTXLCYLKU-CMPLNLGQSA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""phendimetrazine"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:AD4J2O47FQ,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:AD4J2O47FQ"", ""K1:YQX12245A9""], ""origin"": ""suspected-nominal:dasiglucagon""}"
K1:AD4J2O47FQ,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:AD4J2O47FQ"", ""K1:YQX12245A9""], ""origin"": ""slug-collision:dasiglucagon""}"
K1:CLY16Y8Z7E,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""MALEIC ACID"", ""b"": ""Carfenazine"", ""inchikey_child"": ""XZSMZRXAEFNJCU-UHFFFAOYSA-N"", ""inchikey_parent"": ""VZCYOOQTPOCHFL-UPHRSURJSA-N"", ""name_child"": ""carfenazine"", ""name_parent"": ""maleic acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:DB7AK6G4U9,K2:XLXSAKCOAKORKW-AQJXLSMYSA-N,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""(10-GLYCINE)GONADORELIN"", ""b"": ""Gonadorelin"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": ""XLXSAKCOAKORKW-AQJXLSMYSA-N"", ""name_a"": ""10 glycine gonadorelin"", ""name_b"": ""gonadorelin"", ""origin"": ""suspected-nominal:gonadorelin"", ""unii_a"": ""DB7AK6G4U9"", ""unii_b"": ""2RG1XQ1NYJ""}"
K1:DUB5K84ELI,K4:bacopa monnieri,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Bacopa Monnieri Whole"", ""b"": ""Bacopa Monnieri"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""bacopa monnieri whole"", ""name_b"": ""bacopa monnieri"", ""origin"": ""suspected-nominal:bacopa monnieri"", ""unii_a"": ""DUB5K84ELI"", ""unii_b"": null}"
K1:HM5Z15LEBN,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other","{""displayName"": ""Potassium Bicarbonate"", ""normalised"": ""potassium""}"
K1:JX56W9N61Q,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:44STI720CW"", ""K1:JX56W9N61Q""], ""origin"": ""suspected-nominal:peginesatide""}"
K1:JX56W9N61Q,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:JX56W9N61Q"", ""K1:44STI720CW""], ""origin"": ""slug-collision:peginesatide""}"
K1:K50N755924,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:X7D10K905G"", ""K1:K50N755924""], ""origin"": ""suspected-nominal:colestipol""}"
K1:K50N755924,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:K50N755924"", ""K1:X7D10K905G""], ""origin"": ""slug-collision:colestipol""}"
K1:LLM855Y3S3#gmod,K1:WKM56H3TLB,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Bulevirtide-Gmod"", ""b"": ""Bulevirtide"", ""inchikey_child"": null, ""inchikey_parent"": ""WQNDXLHKAMIGEX-WOAPPVHJSA-N"", ""name_child"": ""bulevirtide gmod"", ""name_parent"": ""bulevirtide"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:N02W67RKJS,K1:P28BIW0UTB,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Mangafodipir"", ""b"": ""Fodipir"", ""inchikey_child"": ""QDQFSBKXQQZVTB-UHFFFAOYSA-L"", ""inchikey_parent"": ""SQKUFYLUXROIFM-UHFFFAOYSA-N"", ""name_child"": ""mangafodipir"", ""name_parent"": ""fodipir"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:N0JZU0WGU5,K1:P28BIW0UTB,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""CALMANGAFODIPIR"", ""b"": ""Fodipir"", ""inchikey_child"": ""QAOJLUYEMFXJGX-UHFFFAOYSA-D"", ""inchikey_parent"": ""SQKUFYLUXROIFM-UHFFFAOYSA-N"", ""name_child"": ""calmangafodipir"", ""name_parent"": ""fodipir"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_parent""}"
K1:N7T15V1FUY,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:N7T15V1FUY"", ""K1:9L64H0UE5Y""], ""origin"": ""suspected-nominal:setmelanotide""}"
K1:PR834Q503T,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Ergotamine"", ""b"": ""TARTARIC ACID"", ""inchikey_child"": ""XCGSFFUVFURLIX-VFGNJEKYSA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""ergotamine"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:QI7G114Y98,K3:CHEMBL2109056,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Echinacea Purpurea"", ""b"": ""ECHINACEA PURPUREA, POWDERED"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""echinacea purpurea"", ""name_b"": ""echinacea purpurea powdered"", ""origin"": ""suspected-nominal:echinacea purpurea"", ""unii_a"": ""QI7G114Y98"", ""unii_b"": null}"
K1:QK8899250F,K1:4E862E7GRQ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Pyrophosphoric Acid"", ""b"": ""Ferric Pyrophosphate"", ""inchikey_child"": ""CADNYOZXMIKYPR-UHFFFAOYSA-B"", ""inchikey_parent"": ""XPPKVPWEQAFLFU-UHFFFAOYSA-N"", ""name_child"": ""ferric pyrophosphate"", ""name_parent"": ""pyrophosphoric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:QTL48N278K,K1:1RTM4PAL0V,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Piperazine"", ""b"": ""Estrone Sulfate"", ""inchikey_child"": ""JKKFKPJIXZFSSB-CBZIJGRNSA-N"", ""inchikey_parent"": ""GLUUGHFHXGJENI-UHFFFAOYSA-N"", ""name_child"": ""estrone"", ""name_parent"": ""piperazine"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_salt""}"
K1:QX5LK7YCHV,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:QX5LK7YCHV"", ""K1:3Z6W3S36X5""], ""origin"": ""suspected-nominal:fomivirsen""}"
K1:QX5LK7YCHV,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:QX5LK7YCHV"", ""K1:3Z6W3S36X5""], ""origin"": ""slug-collision:fomivirsen""}"
K1:RLM74T3Z9D,K1:N78PI4C683,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Versetamide"", ""b"": ""Gadoversetamide"", ""inchikey_child"": ""HBEAOBRDTOXWRZ-UHFFFAOYSA-K"", ""inchikey_parent"": ""AXFGWXLCWCNPHP-UHFFFAOYSA-N"", ""name_child"": ""gadoversetamide"", ""name_parent"": ""versetamide"", ""origin"": ""gsrs:target_is_salt"", ""relationship"": ""target_is_salt""}"
K1:RS7A450LGA,K4:trisodium,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""Anhydrous Trisodium Citrate"", ""b"": ""Anhydrous Trisodium"", ""inchikey_a"": ""HRXKRNGNAMMEHJ-UHFFFAOYSA-K"", ""inchikey_b"": null, ""normalised"": ""anhydrous"", ""origin"": ""name:anhydrous"", ""unii_a"": ""RS7A450LGA"", ""unii_b"": null}"
K1:ULL76WPU5X,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Pentolinium"", ""b"": ""TARTARIC ACID"", ""inchikey_child"": ""XSBSKEQEUFOSDD-UHFFFAOYSA-N"", ""inchikey_parent"": ""FEWJPZIEWOKRBE-JCYAYHJZSA-N"", ""name_child"": ""pentolinium"", ""name_parent"": ""tartaric acid"", ""origin"": ""gsrs:target_is_parent"", ""relationship"": ""target_is_parent""}"
K1:UVL329170W,K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,"{""component"": [""HOLD:existing:cisapride"", ""K1:UVL329170W"", ""K2:DCSUBABJRXZOMT-UHFFFAOYSA-N""]}"
K1:UVP74NG1C5,K4:ferric ammonium,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies","{""a"": ""FERRIC AMMONIUM CITRATE"", ""b"": ""Ferric Ammonium"", ""inchikey_a"": ""FRHBOQMZUOWXQL-UHFFFAOYSA-N"", ""inchikey_b"": null, ""normalised"": ""ferric"", ""origin"": ""suspected-nominal:ferric ammonium"", ""unii_a"": ""UVP74NG1C5"", ""unii_b"": null}"
K1:V10579P3QZ,K2:BWWVAEOLVKTZFQ-ISVUSNJMSA-N,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,"{""component"": [""HOLD:existing:amdinocillin"", ""K1:V10579P3QZ"", ""K2:BWWVAEOLVKTZFQ-ISVUSNJMSA-N""]}"
K1:VC855RRT77,K1:W2ZU1RY8B0,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Camellia Sinensis Leaf Oil"", ""b"": ""Camellia Sinensis Leaf"", ""gsrs_relationship"": null, ""inchikey_a"": null, ""inchikey_b"": null, ""name_a"": ""camellia sinensis leaf oil"", ""name_b"": ""camellia sinensis leaf"", ""origin"": ""suspected-nominal:camellia sinensis leaf"", ""unii_a"": ""VC855RRT77"", ""unii_b"": ""W2ZU1RY8B0""}"
K1:VL0L558GCB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:N3927D01PB"", ""K1:VL0L558GCB""], ""origin"": ""suspected-nominal:ardeparin""}"
K1:VL0L558GCB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:VL0L558GCB"", ""K1:N3927D01PB""], ""origin"": ""slug-collision:ardeparin""}"
K1:WKM56H3TLB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:WKM56H3TLB"", ""K1:LLM855Y3S3""], ""origin"": ""suspected-nominal:bulevirtide""}"
K1:WKM56H3TLB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:LLM855Y3S3"", ""K1:WKM56H3TLB""], ""origin"": ""slug-collision:bulevirtide""}"
K1:YIW503MI7V,K1:632XD903SP,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","{""a"": ""Gallic Acid"", ""b"": ""BISMUTH SUBGALLATE"", ""inchikey_child"": ""JAONZGLTYYUPCT-UHFFFAOYSA-K"", ""inchikey_parent"": ""LNTHITQWFMADLM-UHFFFAOYSA-N"", ""name_child"": ""bismuth subgallate"", ""name_parent"": ""gallic acid"", ""origin"": ""suspected-nominal:bismuth subgallate"", ""relationship"": ""target_is_salt""}"
K1:Z67X93HJG1,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:Z67X93HJG1"", ""K1:WP15DXU577""], ""origin"": ""suspected-nominal:colistin""}"
K1:Z67X93HJG1,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,"{""keys"": [""K1:Z67X93HJG1"", ""K1:WP15DXU577""], ""origin"": ""slug-collision:colistin""}"
K2:BVPYARCRLTXGBD-UHFFFAOYSA-N,K4:trisodium,the evidence links the two pages but no rule in the spec's order decides them,"{""a"": ""Trisodium"", ""b"": ""Anhydrous Trisodium"", ""gsrs_relationship"": null, ""inchikey_a"": ""BVPYARCRLTXGBD-UHFFFAOYSA-N"", ""inchikey_b"": null, ""name_a"": ""trisodium"", ""name_b"": ""anhydrous"", ""origin"": ""suspected-nominal:trisodium"", ""unii_a"": null, ""unii_b"": null}"
K2:JSQIKKVBLLHQSQ-AWJAZODESA-N,K2:PVHLMTREZMEJCG-GDTLVBQBSA-N,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"{""a"": ""ANGIOTENSIN"", ""b"": ""Talfirastide"", ""inchikey_a"": ""JSQIKKVBLLHQSQ-AWJAZODESA-N"", ""inchikey_b"": ""PVHLMTREZMEJCG-GDTLVBQBSA-N"", ""origin"": ""unii:IJ3FUK8MOF"", ""unii"": ""IJ3FUK8MOF"", ""unii_source_a"": ""page-field"", ""unii_source_b"": ""page-field""}"
K3:CHEMBL1201493,K4:simethicone cellulose,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""SIMETHICONE-CELLULOSE"", ""b"": ""Simethicone-Cellulose"", ""class_a"": null, ""class_b"": null, ""normalised"": ""simethicone cellulose"", ""origin"": ""suspected-nominal:simethicone cellulose"", ""unii_a"": null, ""unii_b"": null}"
K3:CHEMBL1201525,K4:technetium tc 99m polyphosphate kit,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""TECHNETIUM TC-99M POLYPHOSPHATE KIT"", ""b"": ""Technetium Tc-99m Polyphosphate Kit"", ""class_a"": null, ""class_b"": null, ""normalised"": ""technetium tc 99m polyphosphate kit"", ""origin"": ""suspected-nominal:technetium tc 99m polyphosphate kit"", ""unii_a"": null, ""unii_b"": null}"
K3:CHEMBL1201537,K4:trolamine polypeptide oleate condensate,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""TROLAMINE POLYPEPTIDE OLEATE CONDENSATE"", ""b"": ""Trolamine Polypeptide Oleate Condensate"", ""class_a"": null, ""class_b"": null, ""normalised"": ""trolamine polypeptide oleate condensate"", ""origin"": ""suspected-nominal:trolamine polypeptide oleate condensate"", ""unii_a"": null, ""unii_b"": null}"
K3:CHEMBL1201652,K4:protein hydrolysate,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""PROTEIN HYDROLYSATE"", ""b"": ""Protein Hydrolysate"", ""class_a"": null, ""class_b"": null, ""normalised"": ""protein hydrolysate"", ""origin"": ""suspected-nominal:protein hydrolysate"", ""unii_a"": null, ""unii_b"": null}"
K3:CHEMBL3707352,K4:policosanol,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"{""a"": ""POLICOSANOL"", ""b"": ""Policosanol"", ""class_a"": null, ""class_b"": null, ""normalised"": ""policosanol"", ""origin"": ""suspected-nominal:policosanol"", ""unii_a"": null, ""unii_b"": null}"
"COMBO:{IK:DSFGXPJYDCSWTA-SECBINFHSA-N,K1:2679MF687A}","COMBO:{K1:2679MF687A,K1:TN1B5910V2}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:2679MF687A""], ""components_b"": [""K1:2679MF687A"", ""K1:TN1B5910V2""], ""origin"": ""gsrs:target_is_enantiomer""}"
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS}","COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal","{""components_a"": [""K1:2T8Q726O95"", ""K1:DKO1W9H7M1"", ""K1:WR2TIP26VS""], ""components_b"": [""K1:2T8Q726O95"", ""K1:DKO1W9H7M1""], ""origin"": ""gsrs:target_is_active_moiety""}"
